name_en_gb,tag,desk_name,bucket_by_tag,bucket_by_desk,institutional,programs_all_years,pax_all_years
Online Meditation and Breath Workshop for Youth,HP,YES+,Happiness Programs,Other Programs,False,1441,8489
Happiness Program For Youth,HP,YES+,Happiness Programs,Other Programs,False,805,13400
Happiness Program for Youth-3 Days,HP,YES+,Happiness Programs,Other Programs,False,254,2836
Online Meditation and Breath Workshop,HP,Happiness Program,Happiness Programs,Happiness Programs,True,82,804
Happiness Program (3 Days),HP,Happiness Program,Happiness Programs,Happiness Programs,True,57,1710
Happiness Program,HP,Happiness Program,Happiness Programs,Happiness Programs,True,47,954
TAOL Yoga and Meditation Program for Educators,HP,Children and Teens Desk,Happiness Programs,C&T Programs,True,29,801
Online Meditation and Breath Workshop for Youth,HP,YES+,Happiness Programs,Other Programs,True,20,137
Happiness Program For Youth,HP,YES+,Happiness Programs,Other Programs,True,9,887
Happiness Connect,HP,Happiness Program,Happiness Programs,Happiness Programs,False,7,206
PEP,HP,YES+,Happiness Programs,Other Programs,False,4,396
TAOL Yoga and Meditation Program for Educators,HP,Children and Teens Desk,Happiness Programs,C&T Programs,False,3,142
Part I Course,HP,Happiness Program,Happiness Programs,Happiness Programs,True,2,17
Online TAOL Yoga & Meditation Program for Educators,HP,Children and Teens Desk,Happiness Programs,C&T Programs,True,1,19
PEP,HP,YES+,Happiness Programs,Other Programs,True,1,30
Online Sahaj Samadhi Dhyana Yoga,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,False,7789,37727
Sahaj Samadhi Dhyana Yoga,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,False,5372,83110
Sri Sri Yoga Level -1,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,2812,74918
Part 2,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,2786,298812
Online Sri Sri Yoga Classes,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,2775,38958
Yes!,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,2006,86939
"Immunity Enhancement Program - Meditation, Breath and Yoga",others,Happiness Program,Other Programs,Happiness Programs,False,1949,45985
YES!+,Institutional,YES+,Other Programs,Other Programs,False,1690,61574
Eternity Process,Eternity,Eternityprocess,Other Programs,Other Programs,False,1491,9429
Online 3days AMP,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,1404,47784
Sudarshan Chakra Kriya,others,Happiness Program,Other Programs,Happiness Programs,False,1267,31921
Online Sri Sri Yoga LevelÂ  1,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,1197,15502
Sri Sri Yoga Classes,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,1141,10247
AMP 4 Days,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,909,65272
DSN,DSN,PART 2 and DSN DESK,Other Programs,Other Programs,False,869,36198
"Post Covid Recovery Program - Meditation, Breath and Yoga",(untagged),Happiness Program,Other Programs,Happiness Programs,False,765,7658
YLTP,YLTP,YLTP  DESK,Other Programs,Rural Programs,False,696,27889
"Covid Recovery Program - Meditation, Breath and Yoga",others,Happiness Program,Other Programs,Happiness Programs,False,662,5794
Online Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,False,581,578
Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,False,546,548
Prison Program for Inmates,others,PRISON SMART,Other Programs,Other Programs,False,544,34855
Online Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,542,4163
SpineCare Yoga and Posture Program for Adults,Spine,Sri Sri yoga DESK,Other Programs,Other Programs,False,455,7983
Deep Sleep and Anxiety Relief (Online),Deep Sleep,Happiness Program,Other Programs,Happiness Programs,False,420,3565
YES!+,Institutional,YES+,Other Programs,Other Programs,True,395,25062
VTP,VTP,VTP Desk,Other Programs,Other Programs,False,393,8106
Online Sri Sri Yoga Classes - Pre & Post Natal care,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,332,667
Living Well Program,(untagged),Living Well Program Desk,Other Programs,Other Programs,False,313,5213
Holistic Cooking Program,others,Ayurveda Cooking Desk,Other Programs,Other Programs,False,262,4053
Blessing Course,Blessing,PART 2 and DSN DESK,Other Programs,Other Programs,False,242,12637
Childrenâ€™s Covid Care Program - Immunity Boost & Prevention,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,241,8525
APEX Mind Matters,(untagged),Corporate Desk,Other Programs,Other Programs,True,230,20213
3 Days YES!+,Institutional,YES+,Other Programs,Other Programs,False,227,8679
Online YLTP Program,YLTP,YLTP  DESK,Other Programs,Rural Programs,False,220,2194
APEX BASIC,others,Corporate Desk,Other Programs,Other Programs,True,199,6659
Sri Sri Yoga Deep Dive,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,198,4851
Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,196,2368
APEX,(untagged),Corporate Desk,Other Programs,Other Programs,False,195,5269
Sri Sri Natya,others,(none),Other Programs,Other Programs,False,192,3544
APEX YOGA,(untagged),Corporate Desk,Other Programs,Other Programs,True,190,13794
Excellence@workplace (MSME),(untagged),MSME,Other Programs,Other Programs,False,175,3622
SSSK Foundation M1A Online,others,(none),Other Programs,Other Programs,False,168,1265
Vedhic Mathematics,others,Vedic Math Desk,Other Programs,Other Programs,False,168,3933
Online Sri Sri Yoga Deep Dive,SSY - All Programs,Sri Sri School of Yoga,Other Programs,Other Programs,False,164,3445
APEX BASIC,others,Corporate Desk,Other Programs,Other Programs,False,155,5147
TTP Happiness,TTP,TTP desk,Other Programs,Other Programs,False,155,7356
Online VTP,VTP,VTP Desk,Other Programs,Other Programs,False,152,2449
IDY 2021,(untagged),Happiness Program,Other Programs,Happiness Programs,False,149,7717
Yoga@work,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,145,14174
Online Women Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,144,1156
Online SpineCare Program for Adults,Spine,Sri Sri yoga DESK,Other Programs,Other Programs,False,136,2812
AMP BusyBee,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,129,3776
Stress Free Exams,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,126,25262
GEP,(untagged),GEP DESK,Other Programs,Other Programs,True,124,6012
Smart Excel,others,Children and Teens Desk,Other Programs,C&T Programs,False,124,9461
Teens Covid Care Program - Immunity Boost & Prevention,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,123,3516
SSM@workplace(MSME),(untagged),MSME,Other Programs,Other Programs,False,121,4317
OWLTP,YLTP,YLTP  DESK,Other Programs,Rural Programs,False,111,1701
Sri Sri Lemurrian Yoga,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,106,1106
SMART YES!,others,Children and Teens Desk,Other Programs,C&T Programs,False,105,7893
APEX Mind Matters,(untagged),Corporate Desk,Other Programs,Other Programs,False,101,6707
SSSK Ramayan A Online,others,(none),Other Programs,Other Programs,False,100,672
Happiness Program + Sahaj Samadhi Dhyana Yoga,combine,Happiness Program,Other Programs,Happiness Programs,False,95,624
Shakti Kriya,ShaktiKriya,PART 2 and DSN DESK,Other Programs,Other Programs,False,95,7813
iExcel Holistic Wellbeing,others,MSME,Other Programs,Other Programs,False,94,1163
SSSK Foundation M1,others,(none),Other Programs,Other Programs,False,93,767
Special DSN,DSN,PART 2 and DSN DESK,Other Programs,Other Programs,False,83,12256
SSSK Foundation M1B Online,others,(none),Other Programs,Other Programs,False,82,529
APEX 1,(untagged),Corporate Desk,Other Programs,Other Programs,False,78,2031
Padmasadhana Instructor Trg,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,73,248
Sri Sri Yoga Classes for Kids,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,72,2322
Sanyam 1,Sanyam,PART 2 and DSN DESK,Other Programs,Other Programs,False,71,7237
Sri Sri Yoga Level 1-Certified Teachers,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,70,854
Sri Sri Yoga Center,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,69,718
Mini Yoga Program,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,65,1372
WLTP,YLTP,YLTP  DESK,Other Programs,Rural Programs,False,60,1116
Online 4days AMP,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,59,1324
Online SELP,Institutional,YES+,Other Programs,Other Programs,True,58,3354
Sri Sri Lemurrian Yoga Part 1,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,58,475
APEX,(untagged),Corporate Desk,Other Programs,Other Programs,True,53,1304
SSSK Ramayan B Online,others,(none),Other Programs,Other Programs,False,51,245
The Art of Living Kids online,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,51,7813
Online Sri Sri Yoga Classes for Kids,SSY - All Programs,Sri Sri School of Yoga,Other Programs,Other Programs,False,50,746
iExcel iLead,others,MSME,Other Programs,Other Programs,False,49,1125
SSY,(untagged),Sri Sri yoga DESK,Other Programs,Other Programs,False,44,380
The Art of Living Teens online,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,44,4591
Sri Sri Yoga Classes for Prenatal and Postnatal Care,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,41,62
3 Days YES!+,Institutional,YES+,Other Programs,Other Programs,True,40,4784
Sri Sri Natural Farming,others,SSIAST,Other Programs,Other Programs,False,40,668
AMP 5 Days,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,38,8151
Online Yes+,Institutional,YES+,Other Programs,Other Programs,True,38,1576
Sahaj Samadhi Dhyana Yoga,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,True,37,865
Online SpineCare Program forÂ  Children,(untagged),Sri Sri yoga DESK,Other Programs,Other Programs,False,36,1210
Wellness Program for Substance Users,Wellness,Pran Desk,Other Programs,Other Programs,False,36,222
YLTP,YLTP,YLTP  DESK,Other Programs,Rural Programs,True,36,2722
Spl Art of Living Program for Doctors,(untagged),Happiness Program,Other Programs,Happiness Programs,False,34,2555
Ayur Jagruti,(untagged),Ayur Jagruti,Other Programs,Other Programs,False,33,1391
Wellness Program TTP,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,33,1551
APEX YOGA,(untagged),Corporate Desk,Other Programs,Other Programs,False,32,4620
Home Grown Home Cooked Permaculture session for beginners,(untagged),VVMVP_Desk,Other Programs,Other Programs,False,32,263
Sri Sri Marma,(untagged),Wellness Program Desk,Other Programs,Other Programs,False,31,110
GEP,(untagged),GEP DESK,Other Programs,Other Programs,False,30,826
Online Sri Sri Natural Farming,others,SSIAST,Other Programs,Other Programs,False,29,129
PDS,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,27,10409
SYP 50Hrs Training,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,27,227
Online SSY,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,26,78
Online Meditation and Breath + Sahaj Samadhi Program,combine,Happiness Program,Other Programs,Happiness Programs,False,25,164
Spl Art of Living Program for Medical Support Staff,(untagged),Happiness Program,Other Programs,Happiness Programs,False,25,496
BCPE Core,(untagged),GEP DESK,Other Programs,Other Programs,True,24,590
Spl AoL Program for Media Professionals,others,Happiness Program,Other Programs,Happiness Programs,False,24,464
Spl AoL Program for Police,(untagged),Happiness Program,Other Programs,Happiness Programs,False,24,2429
Online Home Gardening Training Program,others,SSIAST,Other Programs,Other Programs,False,23,130
Startup Rekindle,others,Corporate Desk,Other Programs,Other Programs,False,23,332
Sri Sri Yoga Level -1,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,22,746
TTP MEDHAYOGA,TTP,TTP desk,Other Programs,Other Programs,False,22,643
Yoga@work,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,22,719
APEX 1,(untagged),Corporate Desk,Other Programs,Other Programs,True,21,351
SELP,Institutional,Happiness Program,Other Programs,Happiness Programs,False,20,9090
Training on Bee Keeping Level 1,others,SSIAST,Other Programs,Other Programs,False,20,197
Yes!,(untagged),Children and Teens Desk,Other Programs,C&T Programs,True,20,1894
Online Sahaj Samadhi Dhyana Yoga,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,True,19,102
Online Women Wellness Module,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,19,116
AMP Intensive,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,18,2320
Prison Program for Inmates,others,PRISON SMART,Other Programs,Other Programs,True,18,923
SSSK Ramayan,others,(none),Other Programs,Other Programs,False,18,172
SpineCare Yoga and Posture Workshop for Children,Spine,Sri Sri yoga DESK,Other Programs,Other Programs,False,17,669
BCPE Sahaj,(untagged),GEP DESK,Other Programs,Other Programs,True,16,363
Teens CCP in schools - Immunity Boost And Prevention,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,15,895
Health@ Workplace(MSME),(untagged),MSME,Other Programs,Other Programs,False,14,1683
SSSK Ramayan Camps,others,VVMVP_Desk,Other Programs,Other Programs,False,14,206
Yogic Fitness Act I,(untagged),Sri Sri yoga DESK,Other Programs,Other Programs,False,14,420
AMP 7 Days,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,13,1766
BCPE Yoga,(untagged),GEP DESK,Other Programs,Other Programs,True,13,326
Sri Sri Mushroom Farming,others,SSIAST,Other Programs,Other Programs,False,13,46
Online iExcel Holistic Well Being Program,others,MSME,Other Programs,Other Programs,False,12,108
AMP 10 Days,AMP,PART 2 and DSN DESK,Other Programs,Other Programs,False,10,1519
SSSK TTC Hybrid,others,(none),Other Programs,Other Programs,False,10,308
Sri Sri Home Gardening,others,SSIAST,Other Programs,Other Programs,False,10,37
Stress Free Exams,(untagged),Children and Teens Desk,Other Programs,C&T Programs,True,10,926
WP-SU TTP,(untagged),Wellness Program Desk,Other Programs,Other Programs,False,10,360
YES!+ DSN,DSN,YES+,Other Programs,Other Programs,False,10,733
iExcel Holistic Wellbeing,others,MSME,Other Programs,Other Programs,True,10,186
iExcel iLead,others,MSME,Other Programs,Other Programs,True,10,246
Corporate Programs part 2,(untagged),Corporate Desk,Other Programs,Other Programs,False,9,462
Permaculture and Beyond,(untagged),VVMVP_Desk,Other Programs,Other Programs,False,9,126
Project Bharat - Seva Yoddha Training,others,YLTP  DESK,Other Programs,Rural Programs,False,9,335
Sri Sri Hatha Yoga Level 1,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,9,149
Sri Sri Kids Gardening,others,SSIAST,Other Programs,Other Programs,False,9,63
WP Booster Session,others,Wellness Program Desk,Other Programs,Other Programs,False,9,85
Effortless Equanimity Meditation and Yoga,(untagged),Corporate Desk,Other Programs,Other Programs,True,8,106
Quit Tobacco Program,others,Pran Desk,Other Programs,Other Programs,False,8,27
Children CCP in schools - Immunity Boost And Prevention,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,7,344
WLTP,YLTP,YLTP  DESK,Other Programs,Rural Programs,True,7,81
Childrenâ€™s Covid Care Program - Covid +ve in Home Isolation,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,6,66
Intuition Process - TTP,TTP,TTP desk,Other Programs,Other Programs,False,6,540
Tapping your Inner potential for Success,(untagged),MSME,Other Programs,Other Programs,False,6,144
Online Agriculture TTP,others,SSIAST,Other Programs,Other Programs,False,5,488
Online HAMP,AMP,Happiness Program,Other Programs,Happiness Programs,False,5,60
Online Meditation & Breath Workshop for Government Executives,others,GEP DESK,Other Programs,Other Programs,True,5,252
Online PRAN,others,Wellness Program Desk,Other Programs,Other Programs,False,5,60
SUKHAM YOGA RETREAT,others,(none),Other Programs,Other Programs,False,5,21
Sri Sri Lemurrian Yoga Combo Program,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,5,19
WP-SU Rehabs,others,Pran Desk,Other Programs,Other Programs,False,5,44
Corporate Programs part 2,(untagged),Corporate Desk,Other Programs,Other Programs,True,4,92
Manual Friendliness Session,(untagged),(none),Other Programs,Other Programs,False,4,49
NOVICE TTC,(untagged),KYC DESK,Other Programs,Other Programs,False,4,91
Online Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,True,4,4
Prison Program Part 2,(untagged),PART 2 and DSN DESK,Other Programs,Other Programs,False,4,333
SMART YES!,others,Children and Teens Desk,Other Programs,C&T Programs,True,4,147
